"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 22:18:37 EEST 2022","Thu Aug 11 22:18:42 EEST 2022","5095","chromium","LogP_PTC1.spec.js","","","","login with valid credentials",""
"passed","Thu Aug 11 22:18:37 EEST 2022","Thu Aug 11 22:18:43 EEST 2022","6429","chromium","RegP_NTC1.spec.js","","","","registration with not valid credentials",""
"passed","Thu Aug 11 22:18:37 EEST 2022","Thu Aug 11 22:18:45 EEST 2022","8412","chromium","RegP_PTC1.spec.js","","","","registration with valid credentials",""
"passed","Thu Aug 11 22:18:37 EEST 2022","Thu Aug 11 22:18:43 EEST 2022","6319","chromium","LogP_NTC1.spec.js","","","","login with not valid credentials",""
