"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 19:21:48 GMT 2022","Thu Aug 11 19:21:55 GMT 2022","6752","chromium","LogP_NTC1.spec.js","","","","login with not valid credentials",""
"passed","Thu Aug 11 19:21:48 GMT 2022","Thu Aug 11 19:21:53 GMT 2022","4704","chromium","LogP_PTC1.spec.js","","","","login with valid credentials",""
"passed","Thu Aug 11 19:21:48 GMT 2022","Thu Aug 11 19:21:55 GMT 2022","7096","chromium","RegP_PTC1.spec.js","","","","registration with valid credentials",""
"passed","Thu Aug 11 19:21:48 GMT 2022","Thu Aug 11 19:21:55 GMT 2022","7082","chromium","RegP_NTC1.spec.js","","","","registration with not valid credentials",""
